Puzzle 1	1,3,4,5,6,8,10,12,13,14,16,18,19,21,23
Puzzle 2	2,5,7,8,9,11,13,14,17,19,22,24
Puzzle 3	1,2,3,4,6,7,8,9,13,14,16,17,18,20,21,22,23,24,25
Puzzle 4	1,2,3,5,6,8,12,15,16,18,20,21,23
Puzzle 5	4,6,9,15,16,17,18,23
Puzzle 6	2,3,4,5,6,9,10,11,13,15,18,19,20,23,25
Puzzle 7	3,6,9,10,11,13,18,19,24
Puzzle 8	1,2,5,8,10,11,13,16,19,20,22,23,25
Puzzle 9	1,2,5,6,7,8,9,11,14,15,16,18,21,22,24,25
Puzzle 10	1,2,3,4,5,6,7,8,10,11,13,14,15,16,19,20,22,23,24,25
Puzzle 11	1,4,5,6,8,13,15,16,17,20,21,23,24
Puzzle 12	2,3,4,5,6,9,10,11,13,14,18,20,22,23,24,25
Puzzle 13	2,3,5,6,10,11,13,14,17,18,19,21,24
Puzzle 14	1,2,3,4,6,7,8,13,15,16,18,21,23,24
Puzzle 15	5,6,7,8,9,14,16,17,18,19,21,22
Puzzle 16	1,3,4,6,7,10,11,12,13,15,19,21,23
Puzzle 17	3,5,11,12,13,14,15,16,18,20,22,23
Puzzle 18	1,3,5,6,8,9,10,11,12,17,19,20,22,25
Puzzle 19	2,3,6,8,9,12,13,15,16,20,23,24
Puzzle 20	3,5,7,8,12,13,15,16,18,20,21,22,23,24
Puzzle 21	4,6,12,13,14,19,22,23
Puzzle 22	1,3,4,5,7,8,9,12,14,15,16,18,21,22,24,25
Puzzle 23	1,2,4,6,7,9,11,12,13,15,16,17,18,21,23,24
Puzzle 24	1,3,6,7,9,10,15,16,17,20,21,23,24
Puzzle 25	3,7,8,9,11,12,14,15,16,18,19,21,22,23
Puzzle 26	3,5,6,7,8,9,11,14,16,17,18,21,22,23,24
Puzzle 27	2,3,4,5,8,9,10,11,12,19,20,21,23,24,25
Puzzle 28	2,3,6,7,8,9,10,11,12,16,18,24
Puzzle 29	2,4,6,10,11,12,15,16,17,23,24
Puzzle 30	3,5,11,15,16,18,24
Puzzle 31	1,2,4,7,10,12,17,18,19,20,21,25
Puzzle 32	2,8,10,13,15,16,18,19
Puzzle 33	1,2,3,4,7,12,15,17,20,21,22,24
Puzzle 34	1,2,5,6,8,9,14,15,16,20,21,22,23,24
